eligiblility,notes,additional notes,Authors,Title,Volume,Issue,Source,Start page,End page,DOI,URL
1,not sure; measuring price risk reduction when improving energyefficiency,,"Tuominen, P., Sepp??nen, T.",Estimating the value of price risk reduction in energy efficiency investments in buildings,10,10,Energies,,,10.3390/en10101545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044463823&doi=10.3390%2fen10101545&partnerID=40&md5=1fccfd28b852df1a1e5054458d89943e
0,,,"Ferrari, D; Guthrie, K; Ott, S; Thomson, R",Learning from interventions aimed at mainstreaming solar hot water in the Australian market,30,,1ST INTERNATIONAL CONFERENCE ON SOLAR HEATING AND COOLING FOR BUILDINGS AND INDUSTRY (SHC 2012),1401,1410,10.1016/j.egypro.2012.11.154,http://dx.doi.org/10.1016/j.egypro.2012.11.154
0,,,"Lester, T William",Dedicating new real estate transfer taxes for energy efficiency: A revenue option for scaling up Green Retrofit Programs,62,,Energy Policy,809,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1440136148?accountid=14540&bdid=29236&_bd=W9CODUihylEJI%2FTMGc1B6ZeFoEo%3D
1,not sure; the source of energy rating,,"de Ayala, A; Galarraga, I; Spadaro, JV",The price of energy efficiency in the Spanish housing market,94,,ENERGY POLICY,16,24,10.1016/j.enpol.2016.03.032,http://dx.doi.org/10.1016/j.enpol.2016.03.032
0,,,"Burlinson, A; Giulietti, M; Battisti, G",The elephant in the energy room: Establishing the nexus between housing poverty and fuel poverty,72,,ENERGY ECONOMICS,135,144,10.1016/j.eneco.2018.03.036,http://dx.doi.org/10.1016/j.eneco.2018.03.036
0,not house price,,"Brounen, Dirk; Kok, Nils; Quigley, John M",Residential energy use and conservation: Economics and demographics,56,5,European Economic Review,931,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1021198344?accountid=14540&bdid=29236&_bd=Og3RdaO3c6Yql3rgPSZwDD1CG1M%3D
0,insulation material,,"Iqbal, A; Mubin, S; Gavrishyk, E; Masood, R; Roy, K; Moradibistouni, M",A Comparative Performance Analysis of Different Insulation Materials Installed in a Residential Building of a Cold Region in Pakistan,6,6,JOURNAL OF COMPOSITES SCIENCE,,,10.3390/jcs6060165,http://dx.doi.org/10.3390/jcs6060165
0,,,"Liu, C., Thanarungroj, P., Gaudiot, J.-L.",How many cores do we need to run a parallel workload: A test drive of the Intel SCC platform?,74,7,Journal of Parallel and Distributed Computing,2582,2595,10.1016/j.jpdc.2013.12.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901593493&doi=10.1016%2fj.jpdc.2013.12.011&partnerID=40&md5=6c31203a0be636cb74fd4cce9175ff98
0,,,"Grabowski, L., Sobek, M., Baier, A.","CFD analysis of a hybrid, Darrieus-Savonius, horizontal wind turbine, using static and moving mesh",591,1,IOP Conference Series: Materials Science and Engineering,,,10.1088/1757-899X/591/1/012049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072102863&doi=10.1088%2f1757-899X%2f591%2f1%2f012049&partnerID=40&md5=637827920c95c2149e83b7b808495706
0,wider literature,low income renter,"Seebauer, S",How to make building renovation work for low-income renters: Preferences for distributional principles and procedural options in Austria,82,,ENERGY RESEARCH & SOCIAL SCIENCE,,,10.1016/j.erss.2021.102270,http://dx.doi.org/10.1016/j.erss.2021.102270
0,not Europe,,"Garc??a-Alvarado, R., Campos, P.G.","A tool for the assessment of energy-efficiency retrofit packages based on simulations, for single-family housing in Concepcion, Chile",12,3,Energy Efficiency,619,636,10.1007/s12053-018-9655-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062644106&doi=10.1007%2fs12053-018-9655-3&partnerID=40&md5=d6b217584e371b730a59661404940b5b
0,,,"Popescu, G., Popescu, V.A., Popescu, C.R.",Research for defining the standards and identifying the opportunities for increasing the role of the green it in the context of improving the global economy management and monitoring,14,SPEC. ISS. 8,Metalurgia International,48,53,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949101650&partnerID=40&md5=4ea6bbdf1ecf3bf6fdb8b16cf7e28392
0,other branch ,life cycle assessment,"Lawania, K., Biswas, W.K.",Application of life cycle assessment approach to deliver low carbon houses at regional level in Western Australia,23,2,International Journal of Life Cycle Assessment,204,224,10.1007/s11367-017-1314-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018358063&doi=10.1007%2fs11367-017-1314-y&partnerID=40&md5=b567dfe0a632c3d1b61b7aef6c329689
0,,,"Augustus de Melo, C., de Martino Jannuzzi, G.",Energy efficiency standards for refrigerators in Brazil: A methodology for impact evaluation,38,11,Energy Policy,6545,6550,10.1016/j.enpol.2010.07.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957774475&doi=10.1016%2fj.enpol.2010.07.032&partnerID=40&md5=180c297ab05cb51d465e57e6a6257ec2
0,,,"Brochner, J",The changing nature of the built environment An economic perspective,,,ECONOMICS FOR THE MODERN BUILT ENVIRONMENT,11,33,,
0,retrofit cost-effectiveness,,"Kuusk, K., Kalamees, T.",Retrofit cost-effectiveness: Estonian apartment buildings,44,8,Building Research and Information,920,934,10.1080/09613218.2016.1103117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946423375&doi=10.1080%2f09613218.2016.1103117&partnerID=40&md5=ca26196f6e34bf4f9ed2595e62e4b032
0,US,,"Scheier, E., Kittner, N.",A measurement strategy to address disparities across household energy burdens,13,1,Nature Communications,,,10.1038/s41467-021-27673-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122790658&doi=10.1038%2fs41467-021-27673-y&partnerID=40&md5=f9fce8716008fdd90749c1d5238a780b
0,building design,,"Li, Z., Genovese, P.V., Zhao, Y.",Study on multi-objective optimization-based climate responsive design of residential building,13,9,Algorithms,,,10.3390/a13090238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092449189&doi=10.3390%2fa13090238&partnerID=40&md5=9bc63cae955fd8f19bc60c644fd35f00
1,clear,include more than price effect,"Brounen, Dirk; Kok, Nils",On the economics of energy labels in the housing market,62,2,Journal of Environmental Economics & Management,166,14,10.1016/j.jeem.2010.11.006,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=65053208&site=ehost-live
0,cave house,,"Cespedes-Lopez, M.-F., Mora-Garcia, R.-T.",Are Cave Houses a Sustainable Real Estate Alternative?,11,12,Land,,,10.3390/land11122185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144834488&doi=10.3390%2fland11122185&partnerID=40&md5=6c948a7d9f59b168979073ba19f7fc24
0,grey lit,,,Investing in the rising data center economy.,,,McKinsey Insights,N.PAG,1,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=161403512&site=ehost-live
0,,,"MARTIN, KYMBERLY",New apartments offer opportunities in heating.,23,1,Appliance Retailer,20,0,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=121382235&site=ehost-live
1,clear ,,"Olaussen, JO; Oust, A; Solstad, JT; Kristiansen, L",Energy Performance Certificates-The Role of the Energy Price,12,18,ENERGIES,,,10.3390/en12183563,http://dx.doi.org/10.3390/en12183563
0,grey lit,,"Celis, F., Echeverr??a, E., Garc??a, R., Trebilcock, M., Sanchez, R., Diaz, M., Escorcia, O.",Architectural prototype for high energy efficiency urban housing in Center-South Chile.,4,,30th International PLEA Conference: Sustainable Habitat for Developing Societies: Choosing the Way Forward - Proceedings,112,114,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088358406&partnerID=40&md5=080ace0b8228728b0732052ff5e71575
0,not Europe,,"You, Y; Kim, S","Who lives in and owns cold homes? A case study of fuel poverty in Seoul, South Korea",47,,ENERGY RESEARCH & SOCIAL SCIENCE,202,214,10.1016/j.erss.2018.10.007,http://dx.doi.org/10.1016/j.erss.2018.10.007
0,,,"Healy, J.D.","Housing conditions, energy efficiency, affordability and satisfaction with housing: A Pan-European analysis",18,3,Housing Studies,409,424,10.1080/02673030304242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038506481&doi=10.1080%2f02673030304242&partnerID=40&md5=be766daf7b3e5787e12212c5377d5f0d
1,clear,,"Barreca, A; Fregonara, E; Rolando, D",EPC Labels and Building Features: Spatial Implications over Housing Prices,13,5,SUSTAINABILITY,,,10.3390/su13052838,http://dx.doi.org/10.3390/su13052838
0,not price effect,,"Marmolejo-Duarte, C; Onecha-Perez, B",The spatial uneven difussion of energy-efficiency transparency policy. An analysis of the multi-family market in Barcelona,156,,ENERGY POLICY,,,10.1016/j.enpol.2021.112462,http://dx.doi.org/10.1016/j.enpol.2021.112462
0,grey lit,,"Marshall, P.P., Kidd, B., Guan, P.","Modeling, simulation, monitoring and verification in a design-build residential housing project",,,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029072189&partnerID=40&md5=9cef716ef6d27ec950497364d4b2f0d0
0,,,"Sil??n, K., Sil??n, J.",High- Tech and design in plastics - Success stories from mechanical engineering,,,Society of Plastics Engineers - EUROTECH 2013,636,639,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904628828&partnerID=40&md5=c9b5e0d17fa78ee5b3d4d1211dfb8025
0,not price effect,,"Podgornik, A., Sucic, B., Stanicic, D.",Smart metering and sustainable behavior in low-income households in the Mediterranean,,,Handbook of Climate Change Adaptation,2093,2117,10.1007/978-3-642-38670-1_97,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944534908&doi=10.1007%2f978-3-642-38670-1_97&partnerID=40&md5=11d2fed5a6db7dcac40d92955f789fa7
0,wider literature,residents' motivation,"Zundel, S; Stiess, I",Beyond Profitability of Energy-Saving Measures-Attitudes Towards Energy Saving,34,1,JOURNAL OF CONSUMER POLICY,91,105,10.1007/s10603-011-9156-7,http://dx.doi.org/10.1007/s10603-011-9156-7
1,not sure,aggregated? Eligible?,"Taruttis, Lisa; Weber, Christoph",Estimating the impact of energy efficiency on housing prices in Germany: Does regional disparity matter?,105,,Energy Economics,1,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/2638767423?accountid=14540&bdid=29236&_bd=h%2FC2Ca2cjXtAyynUd9lRvPBxXNI%3D
0,not Europe,,"Zheng, Siqi; Kahn, Matthew E.",A New Era of Pollution Progress in Urban China??€,31,1,Journal of Economic Perspectives,71,22,10.1257/jep.31.1.71,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=121014374&site=ehost-live
0,,,"Veleva, V., Todorova, S., Lowitt, P., Angus, N., Neely, D.",Understanding and addressing business needs and sustainability challenges: Lessons from Devens eco-industrial park,87,1,Journal of Cleaner Production,375,384,10.1016/j.jclepro.2014.09.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922584122&doi=10.1016%2fj.jclepro.2014.09.014&partnerID=40&md5=b39f1c85212dded7d8cc0dbdc1bccef9
0,not epc,,"Brounen, D; Marcato, G; Op't Veld, H",Pricing ESG Equity Ratings and Underlying Data in Listed Real Estate Securities,13,4,SUSTAINABILITY,,,10.3390/su13042037,http://dx.doi.org/10.3390/su13042037
0,,,"Barnas, J; Podhalanski, A",FUTURE OF HISTORICAL SETTLEMENTS IN THE ERA OF ENERGY EFFICIENCY,,,"ARTS, PERFORMING ARTS, ARCHITECTURE AND DESIGN",689,695,,
0,cost bebefit analysis; cooling system,,"Preciado-Perez, OA; Fotios, S",Comprehensive cost-benefit analysis of energy efficiency in social housing. Case study: Northwest Mexico,152,,ENERGY AND BUILDINGS,279,289,10.1016/j.enbuild.2017.07.014,http://dx.doi.org/10.1016/j.enbuild.2017.07.014
0,electricity pricing,,"Herter, K",Residential implementation of critical-peak pricing of electricity,35,4,ENERGY POLICY,2121,2130,10.1016/j.enpol.2006.06.019,http://dx.doi.org/10.1016/j.enpol.2006.06.019
0,,,"Bengali, L",Assessing evidence for inattention to the costs of homeownership,58,,JOURNAL OF HOUSING ECONOMICS,,,10.1016/j.jhe.2022.101861,http://dx.doi.org/10.1016/j.jhe.2022.101861
1,not sure if use epc,,"Brounen, D., Groh, A.M., Haran, M.",The value effects of green retrofits,13,3,Journal of European Real Estate Research,301,319,10.1108/JERER-12-2019-0049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091365115&doi=10.1108%2fJERER-12-2019-0049&partnerID=40&md5=197666c4d609f2768995a9301d7a44f6
0,,,"Gomez, C.P., Raut, A., Raji, A.U.",GEnerating value at preconstruction: Minding the gap in lean architectural practice,2015-January,,Proceedings of IGLC 23 - 23rd Annual Conference of the International Group for Lean Construction: Global Knowledge - Global Solutions,846,855,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006341154&partnerID=40&md5=1c12632d0ee8866ba1dd0bd678db4177
0,not Europe,,Li Zhang; Hongyu Liu; Jing Wu,The price premium for green-labelled housing: Evidence from China.,54,15,"Urban Studies (Sage Publications, Ltd.)",3524,18,10.1177/0042098016668288,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=126229853&site=ehost-live
0,not Europe,,"Morris, M., Halseth, G.","The role of housing and services in supporting healthy ageing-in-place: northern british columbia, canada [El papel de la vivienda y los servicios como soportes de envejecimiento saludable en el lugar: Norte de la columbia brit??nica, canada]",2019,27,Ager,19,47,10.4422/ager.2019.09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077197490&doi=10.4422%2fager.2019.09&partnerID=40&md5=113c1a5ace4259944aed155903b40fdb
0,conference; not price effect,,"Friedrichs, Mark D.",HOME ENERGY RATING SYSTEMS PROGRAM.,,,Energy Technology: Proceedings of the Energy Technology Conference,397,399,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021665525&partnerID=40&md5=e55fb1877bc0c9fe4fe614c1d3e17476
0,not Europe,,"Xu, B; Lin, BQ",Regional differences in the CO2 emissions of China's iron and steel industry: Regional heterogeneity,88,,ENERGY POLICY,422,434,10.1016/j.enpol.2015.11.001,http://dx.doi.org/10.1016/j.enpol.2015.11.001
0,,,"Conz, Nathan",IT CAN BE EASY BEING GREEN.,34,4,Insurance & Technology,20,1,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=41042334&site=ehost-live
0,conference  ,,"Gorbaneva, E., Mishchenko, V., Sevryukova, K., Ovchinnikova, E.",Using of a weighted directed acyclic graph for major repairs of real estate objects: The optimal combination of energy-efficient measures introduction,258,,E3S Web of Conferences,,,10.1051/e3sconf/202125809051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107300632&doi=10.1051%2fe3sconf%2f202125809051&partnerID=40&md5=ac77d27cb8159af3003c34d1d1c0ccf2
0,heating; health,,"Zvingilaite, E; Jacobsen, HK",Heat savings and heat generation technologies: Modelling of residential investment behaviour with local health costs,77,,ENERGY POLICY,31,45,10.1016/j.enpol.2014.11.032,http://dx.doi.org/10.1016/j.enpol.2014.11.032
0,not Europe,,"Fang, Chin-Yi; Hu, Jin-Li; Lou, Tze-Kai",Environment-adjusted total-factor energy efficiency of Taiwan's service sectors,63,,Energy Policy,1160,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1450058959?accountid=14540&bdid=29236&_bd=rj%2FYZ9CgdZx2pwGXCqxaeGJbdnc%3D
0,not Europe,,"Bambrook, S.M., Sproul, A.B., Jacob, D.",Design optimisation for a low energy home in Sydney,43,7,Energy and Buildings,1702,1711,10.1016/j.enbuild.2011.03.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956352935&doi=10.1016%2fj.enbuild.2011.03.013&partnerID=40&md5=9ceeac931aa9cc558bfedab38fb83340
0,data paper,,"Bonifaci, P., Copiello, S.",Real estate market and building energy performance: Data for a mass appraisal approach,5,,Data in Brief,1060,1065,10.1016/j.dib.2015.11.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949781633&doi=10.1016%2fj.dib.2015.11.027&partnerID=40&md5=8b337f7e16d3bf697823f0efe2f33ace
0,incentive and smart-meter data,,"Novan, K; Smith, A",The Incentive to Overinvest in Energy Efficiency: Evidence from Hourly Smart-Meter Data,5,3,JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,577,605,10.1086/697050,http://dx.doi.org/10.1086/697050
0,wider literature,energy efficiency and energy consumption,"Galvin, Ray",Estimating broad-brush rebound effects for household energy consumption in the EU 28 countries and Norway: some policy implications of Odyssee data,73,,Energy Policy,323,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1553420520?accountid=14540&bdid=29236&_bd=dXglt027x34Rk1mPfQRtuwirNRU%3D
0,renovation and energy efficiency,,"Ram??rez-Villegas, R., Eriksson, O., Olofsson, T.",Assessment of renovation measures for a dwelling area - Impacts on energy efficiency and building certification,97,,Building and Environment,26,33,10.1016/j.buildenv.2015.12.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950276041&doi=10.1016%2fj.buildenv.2015.12.012&partnerID=40&md5=640ea750bbe5e453191a7068d62fed4e
0,heat cost allocation,,"Laicans, M; Pukite, I; Geipele, I; Zeltins, N; Grekis, A",HEAT COST ALLOCATION IN MULTI-APARTMENT BUILDINGS: A LITERATURE REVIEW,55,5,LATVIAN JOURNAL OF PHYSICS AND TECHNICAL SCIENCES,26,35,10.2478/lpts-2018-0033,http://dx.doi.org/10.2478/lpts-2018-0033
1,not sure; real estate appraisal,,"Popescu, D; Mladin, EC; Boazu, R; Bienert, S",METHODOLOGY FOR REAL ESTATE APPRAISAL OF GREEN VALUE,8,3,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,601,606,10.30638/eemj.2009.083,http://dx.doi.org/10.30638/eemj.2009.083
0,not Europe,,"Yao, J., Zhu, N.",Enhanced supervision strategies for effective reduction of building energy consumption -- A case study of Ningbo,43,9,Energy and Buildings,2197,2202,10.1016/j.enbuild.2011.04.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960714304&doi=10.1016%2fj.enbuild.2011.04.027&partnerID=40&md5=8030973266096271d56297fa5815f24f
0,energy poverty,,"Casta??o-Rosa, R., Sol??s-Guzm??n, J., Marrero, M.",Energy poverty goes south? Understanding the costs of energy poverty with the index of vulnerable homes in Spain,60,,Energy Research and Social Science,,,10.1016/j.erss.2019.101325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073218711&doi=10.1016%2fj.erss.2019.101325&partnerID=40&md5=f87bff4f18884f43c887de8e7c9b9df2
0,related area,,"Olofsson, T; Johnsson, E",Computation of variations in net profit due to energy efficiency measures,7,,ENERGY AND THE ENVIRONMENT,329,339,,
0,,,"Rizal, Y., Robandi, I., Yuniarno, E.M.",Daylight Factor Estimation Based on Data Sampling Using Distance Weighting,100,,Energy Procedia,54,64,10.1016/j.egypro.2016.10.153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014428790&doi=10.1016%2fj.egypro.2016.10.153&partnerID=40&md5=9c6cd563e47c3a0a12bd51bd62b50ac9
0,,,"Trofimenko, Y.V., Evgenev, G.I., Grigoreva, T.Y.",Energy-saving problems of road facilities in Russia,190 VOLUME 1,,WIT Transactions on Ecology and the Environment,535,542,10.2495/EQ140511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897853002&doi=10.2495%2fEQ140511&partnerID=40&md5=8962861847f4f009c2a44aed7e2edf8b
0,related lit,stated preference; risk aversion,,Risk aversion and willingness to pay for energy efficient systems in rental apartments,38,6,Energy Policy,3078,,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/205344857?accountid=14540&bdid=29236&_bd=GdI1eTsSfPRxaQNWCi%2FJEVxCs2M%3D
1,clear,,"Marmolejo-Duarte, C., Chen, A., Bravi, M.",Spatial implications of EPC rankings over residential prices,,,Green Energy and Technology,51,71,10.1007/978-3-030-23786-8_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070549996&doi=10.1007%2f978-3-030-23786-8_4&partnerID=40&md5=42428de6d66ccbf5046beeeaef2f6801
0,commercial,,"Raggio, Randle D.; Ekman, Peter; Thompson, Steven",Marketing Energy Productivity: Implications from the Commercial Real Estate Sector in Sweden.,27,,AMA Summer Educators' Conference Proceedings,H-29,2,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=119995737&site=ehost-live
0,,,"Ferrante, A; Mochi, G; Predari, G; Badini, L; Fotopoulou, A; Gulli, R; Semprini, G",A European Project for Safer and Energy Efficient Buildings: Pro-GET-onE (Proactive Synergy of inteGrated Efficient Technologies on Buildings' Envelopes),10,3,SUSTAINABILITY,,,10.3390/su10030812,http://dx.doi.org/10.3390/su10030812
0,not price effect,,"Qiu, YM; Kahn, ME",Impact of voluntary green certification on building energy performance,80,,ENERGY ECONOMICS,461,475,10.1016/j.eneco.2019.01.035,http://dx.doi.org/10.1016/j.eneco.2019.01.035
