model_id,paper_id,Reference,gen_title,gen_pub_year,gen_publisher,geog_country,geog_scale,time_start,time_end,time_span,rd_1,rd_2,data_sample_size,data_ht_1,data_ht_2,data_pt,data_tenure,var_ee_aspect,var_ee_scale,var_ee_time,meth_model,spatial_matrix,meth_loc,meth_spatial_inter,meth_tem,functional_form,res_broad,var_hp,var_all,var_structural,var_neighborhood,var_quality,pp_score,pp_band_a,pp_band_b,pp_band_c,pp_band_d,pp_band_e,pp_band_f,pp_band_g,diff_rd_flag,diff_rd_tag,diff_pp_flag,pp_other,pp_other_explain,r2
75,40,"Marmolejo-Duarte and Chen, 2022",The effect of energy performance ratings over residential prices or how an insufficient control of architectural-quality may render spurious conclusions,2022,Cities,Spain,Urban,not mentioned,not mentioned,not mentioned,Observational - comparative,Cross-sectional,886,apartment,all ,listing,sales,EER,Band,Current,SEM,,No,Yes,No,semi-log,no impact,log price,"size, age, number of floors, quality structural attributes (bathrooms, storeroom, lift, air conditioner, central heating, etc), qualitative quality attributes (computed by PCA), locative attributes (computed by GIS - buffer analysis; commuting time, personal services density, distance to CBD, sea shore, etc)",Yes,Yes,Yes,,0.039,0.042,0.006,0.031,0.001,hold-out,0.001,0,,0,,,0.923
76,40,"Marmolejo-Duarte and Chen, 2022",The effect of energy performance ratings over residential prices or how an insufficient control of architectural-quality may render spurious conclusions,2022,Cities,Spain,Urban,not mentioned,not mentioned,not mentioned,Observational - comparative,Cross-sectional,1441,apartment,all ,listing,sales,EER,Band,Current,SEM,,No,Yes,No,semi-log,no impact,log price,"size, age, number of floors, quality structural attributes (bathrooms, storeroom, lift, air conditioner, central heating, etc), qualitative quality attributes (computed by PCA), locative attributes (computed by GIS - buffer analysis; commuting time, personal services density, distance to CBD, sea shore, etc)",Yes,Yes,Yes,,0.063,0.063,0.009,0.003,0.01,hold-out,0.005,0,,0,,,0.89
77,41,"Marmolejo-Duarte and Chen, 2019(a)",The evolution of energy efficiency impact on housing prices. An analysis for UrbanBarcelona,2019,Revista de la Construcci??n,Spain,Urban,201411,201604,0.5,Observational,Longitudinal - not same subsample; year*EPC interaction variable,6492,apartment,all ,listing,sales,EER,Band,Current,SEM,,Yes,Yes,Yes,semi-log,positive,log price,"size (unitary and square), age (inverse), number of bathrooms, other structural characteristics (air conditioner, central heating, retrofited apartment, swimming pool, lift), locative attributes (transport, centrality, amenities), socio-economic (income), year, EPC*year interaction",Yes,Yes,No,,0.086,not mentioned,0.011,0,0.007,0.019,hold-out,0,,0,,,0.764
78,42,"Fregonara et al., 2014",The impact of Energy Performance Certificate level on house listing prices. First evidence from Italian real estate,2014,Aestimum,Italy,Urban,2012,2012,1,Observational - comparative,Cross-sectional,577,apartment,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,no impact,log price per m2,"size, apartment condition, building quality, location",Yes,No,Yes,,not mentioned,hold-out,-0.03,-0.1,-0.06,-0.14,-0.1,0,,0,,,0.76
79,43,"Hogberg, 2013",The impact of energy performance on single-family home selling prices in Sweden,2013,Journal of European Real Estate Research,Sweden,Urban,2009,2009,1,Observational,Cross-sectional,1073,house,all ,transaction,sales,EER,Energy consumption,Current,OLS,,No,No,No,semi-log,positive,log price,"size(ln), lot size(ln), lot size square(ln), property type, quality index, age, age square,  recommendation measures (construction, installation, operation)",Yes,No,No,,,,,,,,,0,,1,-0.044,use standard energy consumption (as energy efficiency variable and all continuous variables are estimated in logorithmic form (kWh/m2a),0.8977
80,44,"Cespedes-Lopez et al., 2020",The influence of energy certification on housing sales prices in the province of alicante (Spain),2020,Applied Sciences (Switzerland),Spain,Regional,201706,201805,1,Observational,Cross-sectional,9194,apartment,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,no impact,log price,"size, typology, age, number of floors, number of bedrooms, number of bathrooms, other dwelling characteristics (wardrobe, air-conditioner, terrace, building quality), building characteristics (elevator, parking, pool, storeroom, garden), location characteristics (district, proximity to facilities), neighborhood characteristics (socio-economic attributes), market characteristics (seller, occupancy, housing tenure)",Yes,Yes,Yes,,-0.026,-0.091,0.014,hold-out,-0.081,-0.08,-0.087,0,,0,,,0.71
81,45,"Cespedes-Lopez et al., 2022","The influence of housing location on energy ratings price premium in Alicante, Spain",2022,Ecological Economics,Spain,Regional,201706,201805,1,Observational,Cross-sectional,70170,all ,all ,listing,sales,EER,Band,Current,MLR,,Yes,No,No,semi-log,no impact,log price,"size, property type, age, number of floor, number of bedrooms, number of bathrooms, new construction, renovation, other dwelling characteristics (closet, air conditioner), building characteristics (elevator, parking, pool, garden, floor area ratio), location characteristics (district, costal region, proximity), neighborhood characteristics (socio-economic attributes)",Yes,Yes,No,,0,-0.079,0.006,hold-out,-0.097,-0.09,-0.125,0,,0,,,
82,46,"Kholodilin et al., 2017",The market value of energy efficiency in buildings and the mode of tenure,2017,Urban Studies,Germany,Urban,201106,201412,3.5,Observational,Cross-sectional,7298,apartment,all ,listing,sales - both,EER,Energy consumption,Current,OLS,,Yes,No,Yes,semi-log,positive,log price,"size, age, vintage class, number of rooms,  other dwelling characteristics (elevator, cellar, fitted kitchen, guest bathroom, parking lot, garden, balcony), dwelling quality, refurbishment status, accessibility (to two main city centers), amenity (school, supermarket, metro stations), neighborhood population density, mode of tenure (rented out/available to use), district, sales month",Yes,Yes,Yes,,,,,,,,,0,,1,-0.0005,use energy consumption (kWh/m2a) with both performance-based and consumption-based,0.75
83,46,"Kholodilin et al., 2017",The market value of energy efficiency in buildings and the mode of tenure,2017,Urban Studies,Germany,Urban,201106,201412,3.5,Observational,Cross-sectional,13366,apartment,all ,listing,rents,EER,Energy consumption,Current,OLS,,Yes,No,Yes,semi-log,positive,log price,"size, age, vintage class, number of rooms,  other dwelling characteristics (elevator, cellar, fitted kitchen, guest bathroom, parking lot, garden, balcony), dwelling quality, refurbishment status, accessibility (to two main city centers), amenity (school, supermarket, metro stations), neighborhood population density, mode of tenure (rented out/available to use), district, sales month",Yes,Yes,Yes,,,,,,,,,0,,1,-0.0002,use energy consumption (kWh/m2a) with both performance-based and consumption-based,0.69
84,47,"Stanley et al., 2016",The price effect of building energy ratings in the Dublin residential market,2016,Energy Efficiency,Ireland,Urban,200901,201406,5.5,Observational,Cross-sectional,2792,all ,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,Yes,linear,positive,price,"size, property type, age, district, time",Yes,No,No,,,,,,,,,0,,1,"G: -12.8%, F: -4.4%, E2: -7%, E1: -3.4%, D2: -4.6%, D1: -1.1%, C3: -0.8%, C2: -3.9%, C1: hold-out, B3: 1.7%, B2: -1.3%, B1: -28.2%, A3: 2.8% ",use price as dependent variable,0.771
85,48,"Marmolejo-Duarte and Chen, 2019(b)",The uneven price impact of energy efficiency ratings on housing segments and implications for public policy and private markets,2019,Sustainability (Switzerland),Spain,Urban,201501,201503,0.25,Observational,Cross-sectional,3479,apartment,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,no impact,log price,"size (unitary and square), age, number of bathrooms, number of floor, heating, air conditioner, quality-retrofit indicator, lift, swimming pool, floor area ratio, centrality indicator, socuial hierarchy (education, doorman service, CP high socioeconomic level)",Yes,Yes,Yes,,0.024,not mentioned,-0.012,0.019,0.021,0.006,hold-out,0,,0,,,0.655
86,49,"Hyland et al., 2013",The value of domestic building energy efficiency ?? evidence from Ireland,2013,Energy Economics,Ireland,National,200801,201203,4.25,Observational,Cross-sectional,15060,all ,all ,listing,sales - both,EER,Band,Current,OLS,,Yes,No,Yes,linear,positive,price,"property type, number of bedrooms, number of bathrooms, new development, district, time",Yes,No,No,,0.093,0.052,0.017,hold-out,-0.004,-0.106,-0.106,0,,1,,use price as dependent variable,
87,49,"Hyland et al., 2013",The value of domestic building energy efficiency ?? evidence from Ireland,2013,Energy Economics,Ireland,National,200801,201203,4.25,Observational,Cross-sectional,20825,all ,all ,listing,rents,EER,Band,Current,OLS,,Yes,No,Yes,linear,positive,price,"property type, number of bedrooms, number of bathrooms, garden, parking, alarm, dishwasher, microwave, furnished, long term lease, le tby agent, is price change, new development, district, time",Yes,No,No,,0.018,0.039,-0.006,hold-out,-0.019,-0.032,-0.032,0,,1,,use price as dependent variable,
88,50,"Mense, 2018",The Value of Energy Efficiency and the Role of Expected Heating Costs,2018,Environmental and Resource Economics,Germany,National,201504,201607,1.25,Observational,Cross-sectional,229072,house,all ,listing,sales,EER,Energy consumption,Current,OLS,,Yes,No,Yes,semi-log,positive,log price,"size, property type, age, age2, numbr of rooms, under construction, dwelling quality, heating type, parking, population density, district, time",Yes,Yes,Yes,,,,,,,,,0,,1,-0.00075,use energy consumption (kWh/m2a),0.704
89,51,"Brounen et al., 2020",The value effects of green retrofits,2020,Journal of European Real Estate Research,Germany,Urban,2012,2015,4,Observational,Cross-sectional,8928,all ,all ,listing,sales,EER,Band,Current,GAM,,Yes,No,No,semi-log,positive,log price per m2,"size, age, number of floor, number of rooms, number of bedrooms, number of bathrooms, elevator, parking price, guest wc, dwelling quality, balcony, cellar, garden, fitted kitchen, retrofit from 2014, district",Yes,No,Yes,,0.055,0.024,hold-out,-0.014,0.005,0.016,0.002,0,,0,,,0.678
90,52,"Morano et al., 2018",The value of the energy retrofit in the Italian housing market: Two case-studies compared,2018,WSEAS Trans. Bus. Econ,Italy,Urban,2016,2017,1,Observational - comparative,Cross-sectional,200,all ,all ,transaction,sales,EER,Band,Current,EPR,,Yes,No,No,semi-log,positive,log price,"size, age, number of bathrooms, floor level, lift, parking, dwelling quality, location (distance from motorway, distance from subway, trade area) (some variables are excluded in final selected model)",Yes,Yes,Yes,,,,,,,,,1,,0,"G: -27%, A: 30%",,0.713
91,52,"Morano et al., 2018",The value of the energy retrofit in the Italian housing market: Two case-studies compared,2018,WSEAS Trans. Bus. Econ,Italy,Urban,2016,2017,1,Observational - comparative,Cross-sectional,200,all ,all ,transaction,sales,EER,Band,Current,EPR,,Yes,No,No,semi-log,positive,log price,"size, age, number of bathrooms, floor level, lift, parking, dwelling quality, location (distance from motorway, distance from subway, trade area) (some variables are excluded in final selected model)",Yes,Yes,Yes,,,,,,,,,1,,0,"G: -19%, A: 45%",,0.754
92,53,"Khazal and Sonstebo, 2020",Valuation of energy performance certificates in the rental market ?C Professionals vs. nonprofessionals,2020,Energy Policy,Norway,National,201101,201801,8,Observational,Cross-sectional,101277,all ,all ,listing,rents,EER,Band,Current,MLR,,Yes,No,Yes,semi-log,positive,log rent  ,"size (unitary and square), property type, age, number of bedrooms, floor, furnished, balcony, broadband, central location",Yes,No,No,,0.0284,0.0131,0.0092,hold-out,-0.025,-0.035,-0.0308,0,,0,,,0.77
93,54,"Pommeranz and Steininger, 2021",What Drives the Premium for Energy-Efficient Apartments ?C Green Awareness or Purchasing Power?,2021,The Journal of Real Estate Finance and Economics,Germany,National,2007q1,2019q1,13,Observational,Cross-sectional,377426,apartment,all ,listing,rents,EER,Energy consumption,Current,OLS,,Yes,No,Yes,log-log,positive,log rent ,"size, age, number of rooms, number of floor, time on market, dwelling quality, energy related variables (epc requirement, epc with rating, log heating cost, log utility cost), sociodemographic (Household Size, Number of Households, Immigration Rate, Unemployment Rate), log proximity, time, space, SE cluster (time/spatial), environmental awareness (both base and interaction with epc), purchasing power (both base and interaction with epc) ",Yes,Yes,Yes,,,,,,,,,0,,1,0.003,use log EPC value (kWh/m2a),0.72
94,55,"Cajias and Piazolo, 2013",Green performs better: energy efficiency and financial return on buildings,2013,Journal of Corporate Real Estate,Germany,National,2008,2010,3,Observational,Cross-sectional,2613,all ,all ,appraisal,rents,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log rent,"size (log), age, maintenance cost, GDP, CBD, latitude, longitude, district, time",Yes,No,No,,not mentioned,0.125,0.127,0.151,0.147,0.032,hold-out,0,,0,,,0.6638
95,55,"Cajias and Piazolo, 2013",Green performs better: energy efficiency and financial return on buildings,2013,Journal of Corporate Real Estate,Germany,National,2008,2010,3,Observational,Cross-sectional,2613,all ,all ,appraisal,rents,EER,Energy consumption,Current,QR,,Yes,No,Yes,log-log,positive,log rent,"size (log), age, maintenance cost, GDP, CBD, latitude, longitude, district, time",Yes,No,No,,,,,,,,,0,,1,-0.055,log energy consumption (kWh/m2a),0.6546
96,56,"Liu et al., 2018",Do renters skimp on energy efficiency during economic recessions? Evidence from Northeast Scotland,2018,Energy,United Kingdom,Urban,2013q3,2017q2,4,Observational,Cross-sectional,9451,all ,all ,transaction,rents,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log rent per year,"number of bedroom, number of bathroom, heating, cloakroom, garage, garden, property type, parking, newbuilt, tom, furnish, year, spatial coordinates, ",Yes,No,No,,0.075,0.075,0.0402,0.03,hold-out,-0.0267,-0.0684,0,,0,,,0.8109
97,57,"Gerassimenko et al., 2023",The impact of energy certificates on sales and rental prices: a comparative analysis,2023,International Journal of Housing Markets and Analysis,Belgium,Regional,2016,2021,6,Observational,Cross-sectional,92223,all ,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,No,linear,positive,price per m2,"age, property type, location",Yes,No,No,,,,,,,,,0,,1,"A: 341, B:160, C: 65, D:reference, E: -70, F:-134 (the price premium could be calculated given a specific average house price)",linear,0.2127
98,57,"Gerassimenko et al., 2023",The impact of energy certificates on sales and rental prices: a comparative analysis,2023,International Journal of Housing Markets and Analysis,Belgium,Regional,2016,2021,6,Observational,Cross-sectional,37044,all ,all ,listing,rents,EER,Band,Current,OLS,,Yes,No,No,linear,positive,rent per m2 per month,"age, property type, location",Yes,No,No,,,,,,,,,0,,1,"A: 0.31, B: 0.13, C: 0.13, D: reference, E: -0.15, F: -0.17",linear,0.1889
99,58,"Gerassimenko et al., 2024",Does the market value energy efficiency within EPC-labels? An analysis of the residential real estate market in Flanders,2024,International Journal of Housing Markets and Analysis,Belgium,Regional,2019,2023,5,Observational,Cross-sectional,51330,all ,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"property type, age, number of rooms, location, year",Yes,No,No,,0.22,0.12,0.06,hold-out,-0.06,-0.14,not mentioned,0,,0,,,0.4588
100,58,"Gerassimenko et al., 2024",Does the market value energy efficiency within EPC-labels? An analysis of the residential real estate market in Flanders,2024,International Journal of Housing Markets and Analysis,Belgium,Regional,2019,2023,5,Observational,Cross-sectional,8543,all ,all ,listing,rents,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log rent,"property type, age, number of rooms, location, year",Yes,No,No,,0.07,0.04,0.01,hold-out,-0.01,-0.03,not mentioned,0,,0,,,0.5266
101,59,"Wilhelmsson, 2023","How Does the Presentation of Energy Performance Affect the Price of Houses? A Case Study of Detached Houses in Stockholm, Sweden",2023,Buildings,Sweden,Urban  ,2012,2018,7,Observational,Cross-sectional,2882,house,all,transaction,sales,EER,Band,Current,OLS,,No,No,No,semi-log,positive,log price,"size, age, number of rooms,  distance to CBD/subway",Yes,Yes,No,,0.0537,0.0473,0.00803,hold-out,-0.0166,-0.021,-0.0598,0,,0,,,0.888
102,60,"Galvin, 2023",How prebound effects compromise the market premium for energy efficiency in German house sales,2023,Building Research and Information,Germany,National,2019,2021,3,Observational,Cross-sectional,244256,house,all,listing,sales,EER,Energy consumption,Current,OLS,,Yes,No,Yes,log-log,positive,log price,"size, age, number of rooms, location, land size, guest tiolet, car park, location, month",Yes,No,No,,,,,,,,,0,,1,-0.0496,log energy consumption,0.4018
103,61,"Sieger and Weber, 2023",Inefficient markets for energy efficiency? – The efficiency premium puzzle in the German rental housing market,2023,Energy Policy,Germany,Regional,201405,202012,6.5,Observational,Cross-sectional,844229,apartment,all,listing,rents,EER,Energy consumption,Current,OLS,,Yes,No,Yes,linear,positive,rent per m2 per month,"size, age, number of rooms, number of floors, neighbourhood characteristics (population density, employment, purchase power), balcony, garden, kitchen,  region, quarter-year, condition, heating system",Yes,Yes,Yes,,,,,,,,,0,,1,-0.0096,energy performance score (in 10kWh/m2a),0.784
104,62,"Sieger, 2024",Investigating inefficiencies in the German rental housing market: The impact of disclosing total costs on energy efficiency appreciation,2024,Energy and Buildings,Germany,National,201405,202112,7.5,Observational,Cross-sectional,3903473,apartment,all,listing,rents,EER,Energy consumption,Current,OLS,,Yes,No,No,semi-log,depends,warm rent per m2 per month,"size, age, number of rooms, number of floors, neighbourhood characteristics (population density, employment, purchase power), balcony, garden, kitchen,  region, quarter-year, condition, heating system",Yes,Yes,Yes,,,,,,,,,0,,1,0.0077,energy performance score (in 10kWh/m2a) v. warm rent,0.741
105,63,"Galvin, 2023",Rental and sales price premiums for energy efficiency in Germany's pre-War apartments: Where are the shortfalls and what is society's role in bringing fairness?,2023,Energy Research and Social Science,Germany,National,201901,202112,3,Observational,Cross-sectional,14071,apartment,all,listing,rents,EER,Energy consumption,Current,OLS,,Yes,No,No,log-log,depends,log rent per month,"size, age, number of bathrooms, balconies, kitchen, basement, parking, location, energy bill",Yes,No,No,,,,,,,,,0,,1,-0.092,log energy consumption,0.7499
106,63,"Galvin, 2023",Rental and sales price premiums for energy efficiency in Germany's pre-War apartments: Where are the shortfalls and what is society's role in bringing fairness?,2023,Energy Research and Social Science,Germany,National,201901,202112,3,Observational,Cross-sectional,4082,apartment,all,listing,sales,EER,Energy consumption,Current,OLS,,Yes,No,No,log-log,depends,log rent per month,"size, age, number of bathrooms, balconies, kitchen, basement, parking, location, energy bill",Yes,No,No,,,,,,,,,0,,1,-0.2871,log energy consumption,0.6277
107,64,"Micelli et al., 2023",The economic value of sustainability. Real estate market and energy performance of homes,2023,Valori e Valutazioni,Italy,Regional,not mentioned,202301,not mentioned,Observational,Cross-sectional,900,all ,all,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,positive,log price per m2,"size, property type, number of bathrooms, proximity to transport, maintenance status, region",Yes,Yes,Yes,,,,,,,,,0,,1,-0.04,use ordinal EPC,0.5
108,65,"Copiello and Coletto, 2023",The Price Premium in Green Buildings: A Spatial Autoregressive Model and a Multi-Criteria Optimization Approach,2023,Buildings,Italy,Urban,202203,202207,0.416,Observational,Cross-sectional,321,all ,all,listing,sales,EER,Band,Current,SAR,,No,Yes,No,semi-log,positive,log price,"size, property type, age, number of rooms, garage, lots, garden, lift, number of floor, heating system, maintenance, distance to city center, mall, beltway",Yes,Yes,Yes,,0.5086,0.1611,0.1611,hold-out,hold-out,-0.103,-0.245,0,,0,,,0.6034
109,66,"Micelli et al., 2024",Urban Disparities in Energy Performance Premium Prices: Towards an Unjust Transition?,2024,Land,Italy,Regional,not mentioned,202307,not mentioned,Observational - comparative,Cross-sectional,2034,all ,all,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,positive,log price,"size, property type, number of bathrooms, proximity to infrastructure, maintenance status, location",Yes,Yes,Yes,,,,,,,,,0,,1,,use 12-level energy variable; six different models in six cities,
110,67,"Ruggeri et al., 2023",What Is the Impact of the Energy Class on Market Value Assessments of Residential Buildings? An Analysis throughout Northern Italy Based on Extensive Data Mining and Artificial Intelligence,2023,Buildings,Italy,Regional,not mentioned,not mentioned,not mentioned,Observational,Cross-sectional,13093,all ,all,listing,sales,EER,Band,Current,RF,,Yes,No,No,not applicable,positive,price,"size, property type, number of rooms, number of floors, maintenance, central heating, lift, garden, parking, location",Yes,No,Yes,,,,,,,,,1,,1,,use random forest feature importance coefficients to explain impact of energy rating,
111,68,"Groh et al., 2022",Does Retrofitting Pay Off? An Analysis of German Multifamily Building Data,2022,Journal of Sustainable Real Estate,Germany,National,2016,2020,5,Observational,Cross-sectional,533780,apartment,all,listing,rents,EER,Band,Current,GAM,,Yes,No,Yes,semi-log,positive,log rent per month,"size (log), age, number of rooms, number of floors, elevator, balcony, kitchen, garden, cellar, guest wc, interior equipment (simple, sophisticated, luxury), neighbourhood (purchasing power, households)",Yes,Yes,Yes,,0.039,0.021,0.008,0.003,0.001,0.002,hold-out,0,,0,,,0.934
